player,team,game_id,prop_type,line,over_odds,under_odds,sportsbook,player_id,player_position,player_jersey,opponent,game_date,game_time,event_status,home_team,away_team,market_id,market_name,participant_id,consensus_line,consensus_over_odds,consensus_under_odds,opening_line,opening_odds,opening_book,opening_time,expert_over_picks,expert_under_picks,system_over_picks,system_under_picks,last_5_over,last_5_under,season_over,season_under,h2h_over,h2h_under,projected_value,projected_probability,projected_ev,bet_rating,line_diff,opp_rank,opp_value,timestamp,url
Andrew Wiggins,GSW,23631,pa,23.5,-125,-105,dk,,F,22,,,,closed,,,338,,2945,23.5,-120,-110,23.5,-120,12,2023-10-20 23:12:04,0,0,55,55,1,4,17,48,0,5,23.2,0.53657736406949,0.04760342508805182,3,-0.3,10,181.2,,
Aaron Gordon,DEN,23630,pts,2.5,-130,105,dk,,F,32,,,,closed,,,151,,2850,2.5,-140,105,2.5,-137,37,2023-10-16 17:15:59,0,0,59,59,4,1,51,32,12,4,2.7,0.50637550892654,-0.10410486882227526,1,0.2,26,28.2,,
Nikola Jokic,DEN,23630,pts,9.5,105,-135,dk,,C,15,,,,closed,,,151,,2918,9.5,105,-135,9.5,-148,10,2023-10-20 04:12:03,0,0,59,59,1,4,34,57,7,9,9.7,0.50402115824979,0.03324337441206948,3,0.2,26,28.2,,
Moses Moody,GSW,23631,pts,0.5,-145,115,dk,,G,4,,,,closed,,,151,,5352,0.5,-170,130,0.5,-175,12,2023-10-24 21:13:05,3,3,55,55,4,0,17,7,1,2,0.7,0.50341469620859,-0.1494027546820375,1,0.2,12,26.2,,
Aaron Gordon,DEN,23630,reb,0.5,105,-135,dk,,F,32,,,,closed,,,152,,2850,0.5,105,-142,0.5,100,12,2023-10-20 22:11:50,0,0,12,12,3,2,33,50,9,6,0.7,0.50341469620859,0.03200012722760959,3,0.2,7,4.6,,
D'Angelo Russell,LAL,23630,reb,0.5,155,-205,dk,,G,1,,,,closed,,,152,,3013,0.5,155,-205,0.5,155,12,2023-10-20 23:12:01,0,0,12,12,1,4,27,43,2,11,0.3,0.74081822068172,0.10219296247768095,4,-0.2,16,5.0,,
Jamal Murray,DEN,23630,reb,0.5,270,-360,dk,,G,27,,,,closed,,,152,,3171,0.5,265,-360,0.5,270,12,2023-10-20 23:12:00,0,0,12,12,0,5,28,40,7,8,0.3,0.74081822068172,-0.05339894024002445,2,-0.2,7,4.6,,
Taurean Prince,LAL,23630,reb,0.5,220,-295,dk,,F,12,,,,closed,,,152,,3224,0.5,220,-295,0.5,230,12,2023-10-21 20:12:24,0,0,12,12,2,3,21,37,4,7,0.3,0.74081822068172,-0.008056958748205445,2,-0.2,16,5.0,,
Rui Hachimura,LAL,23630,reb,0.5,170,-230,dk,,F,28,,,,closed,,,152,,4491,0.5,170,-225,0.5,175,12,2023-10-21 20:12:24,0,0,12,12,0,5,17,35,2,9,0.3,0.74081822068172,0.06291309923898952,3,-0.2,16,5.0,,
Devin Booker,PHO,23631,reb,0.5,160,-210,dk,,G,1,,,,closed,,,152,,3024,0.5,160,-210,0.5,160,12,2023-10-20 23:12:04,0,0,10,10,1,4,24,46,3,4,0.3,0.74081822068172,0.09358880195872948,3,-0.2,14,5.0,,
Andrew Wiggins,GSW,23631,ast,16.5,-115,-110,dk,,F,22,,,,closed,,,156,,2945,16.5,-110,-119,15.5,-122,10,2023-10-20 06:11:38,0,0,129,129,3,2,21,44,0,6,16.7,0.52429513481463,-0.019796052303083123,2,0.2,16,113.4,,
Taurean Prince,LAL,23630,pra,2.5,110,-140,dk,,F,12,,,,closed,,,157,,3224,2.5,110,-140,2.5,110,12,2023-10-21 20:12:24,0,0,19,19,3,2,35,24,5,6,2.7,0.50637550892654,0.06338856874573418,3,0.2,8,42.4,,
Gabe Vincent,LAL,23630,pra,1.5,130,-160,dk,,G,7,,,,closed,,,157,,3635,1.5,130,-200,1.5,155,12,2023-10-24 17:12:57,0,0,19,19,1,3,3,8,3,8,1.7,0.50675448505762,0.165535315632526,4,0.2,8,42.4,,
Chris Paul,GSW,23631,pra,3.5,-120,-105,dk,,G,3,,,,closed,,,157,,2307,3.5,-125,-105,3.5,-105,12,2023-10-20 23:12:04,0,0,22,22,3,2,28,19,2,1,3.7,0.50584675584958,-0.07261428094243655,2,0.2,4,41.5,,
Aaron Gordon,DEN,23630,stl,0.5,-140,110,dk,,F,32,,,,closed,,,160,,2850,0.5,-145,110,0.5,-135,12,2023-10-20 22:11:51,0,0,13,13,3,2,45,38,7,8,0.7,0.50341469620859,-0.1370033779281314,1,0.2,23,8.1,,
Michael Porter,DEN,23630,stl,0.5,120,-155,dk,,F,1,,,,closed,,,160,,3471,0.5,108,-148,0.5,110,12,2023-10-20 22:11:51,0,0,13,13,1,4,38,51,9,4,0.7,0.50341469620859,0.10751233165889806,4,0.2,23,8.1,,
Kentavious Caldwell-Pope,DEN,23630,3pm,1.5,-130,105,dk,,G,3,,,,closed,,,162,,2802,1.5,-145,110,1.5,-137,37,2023-10-16 17:15:59,0,0,43,43,2,3,41,44,8,5,1.7,0.50675448505762,-0.10343437259036459,1,0.2,28,14.0,,
Taurean Prince,LAL,23630,3pm,1.5,125,-155,dk,,F,12,,,,closed,,,162,,3224,1.5,120,-155,1.5,115,12,2023-10-21 20:12:24,0,0,43,43,1,4,31,29,4,7,1.3,0.62682312397823,0.031225139448055828,3,-0.2,2,11.0,,
Gabe Vincent,LAL,23630,3pm,1.5,170,-220,dk,,G,7,,,,closed,,,162,,3635,1.5,170,-220,1.5,155,12,2023-10-24 17:12:57,0,0,43,43,0,4,1,10,3,8,1.3,0.62682312397823,-0.08825727421348362,2,-0.2,2,11.0,,
Chris Paul,GSW,23631,3pm,1.5,125,-160,dk,,G,3,,,,closed,,,162,,2307,1.5,120,-155,1.5,-104,10,2023-10-20 06:11:37,2,2,45,45,1,4,21,26,1,2,1.3,0.62682312397823,0.018587576464623834,3,-0.2,18,13.1,,
Dario Saric,GSW,23631,3pm,0.5,-115,-110,dk,,F,9,,,,closed,,,162,,2839,0.5,-115,-111,0.5,-120,12,2023-10-24 21:13:06,2,2,45,45,0,0,17,9,2,1,0.7,0.50341469620859,-0.05883339404480997,2,0.2,18,13.1,,
Gary Payton,GSW,23631,3pm,0.5,160,-210,dk,,G,0,,,,closed,,,162,,3299,0.5,165,-210,0.5,155,12,2023-10-24 21:13:05,2,2,45,45,3,2,10,17,0,1,0.7,0.50341469620859,0.3088782101423341,5,0.2,18,13.1,,
Andrew Wiggins,GSW,23631,to,21.5,-125,-105,dk,,F,22,,,,closed,,,336,,2945,21.5,-120,-110,21.5,-120,12,2023-10-20 23:12:04,0,0,17,17,2,3,20,46,0,4,21.3,0.50624374071197,-0.011619363371868141,2,-0.2,10,155.0,,
Nikola Jokic,DEN,23630,pa,48.5,-105,-120,dk,,C,15,,,,closed,,,338,,2918,48.5,-105,-120,47.5,-110,12,2023-10-20 22:11:52,3,3,67,67,3,2,46,45,8,5,48.3,0.53361469196663,-0.021706398061178245,2,-0.2,24,189.3,,
D'Angelo Russell,LAL,23630,pa,21.5,-115,-110,dk,,G,1,,,,closed,,,338,,3013,21.5,-115,-115,21.5,100,12,2023-10-20 23:12:00,3,3,67,67,2,3,52,20,5,8,21.7,0.53414808062562,-0.001375327526014769,2,0.2,5,176.6,,
Anthony Davis,LAL,23630,pts,2.5,115,-150,dk,,F,3,,,,closed,,,151,,2746,2.5,112,-145,2.5,-137,37,2023-10-16 17:15:58,0,0,59,59,4,1,54,28,9,5,2.6,0.54381311588333,0.16919819914915957,4,0.1,8,25.5,,
Michael Porter,DEN,23630,pts,1.5,145,-190,dk,,F,1,,,,closed,,,151,,3471,1.5,140,-185,1.5,165,24,2023-10-20 22:14:07,0,0,59,59,0,5,37,53,6,7,1.4,0.59183271345986,-0.09667638471916107,2,-0.1,26,28.2,,
Josh Okogie,PHO,23631,pts,1.5,120,-155,dk,,G,2,,,,closed,,,151,,3511,1.5,120,-155,1.5,120,12,2023-10-24 20:12:35,3,3,55,55,0,0,6,8,2,1,1.6,0.55782540037107,0.2272158808163539,5,0.1,18,26.7,,
LeBron James,LAL,23630,reb,0.5,-135,105,dk,,F,23,,,,closed,,,152,,2239,0.5,-135,100,0.5,-135,12,2023-10-20 22:11:52,0,0,12,12,4,1,32,42,7,8,0.6,0.60653065971263,0.055812629870133634,3,0.1,16,5.0,,
Kentavious Caldwell-Pope,DEN,23630,reb,0.5,160,-210,dk,,G,3,,,,closed,,,152,,2802,0.5,150,-200,0.5,145,12,2023-10-20 22:11:50,0,0,12,12,2,3,33,52,4,8,0.4,0.67032004603564,-0.010479932042626705,2,-0.1,7,4.6,,
Michael Porter,DEN,23630,reb,0.5,150,-190,dk,,F,1,,,,closed,,,152,,3471,0.5,150,-190,0.5,155,12,2023-10-20 22:11:51,0,0,12,12,4,1,42,47,6,7,0.6,0.54881163609403,0.37202909023507513,5,0.1,7,4.6,,
Klay Thompson,GSW,23631,reb,0.5,150,-190,dk,,G,31,,,,closed,,,152,,2142,0.5,150,-194,0.5,145,12,2023-10-20 23:12:02,0,0,10,10,3,2,30,46,5,3,0.4,0.67032004603564,0.023120070264924186,3,-0.1,4,4.5,,
Andrew Wiggins,GSW,23631,reb,0.5,-115,-110,dk,,F,22,,,,closed,,,152,,2945,0.5,-120,-110,0.5,-125,24,2023-10-20 23:14:33,0,0,10,10,3,2,32,33,3,3,0.6,0.60653065971263,0.13394862468013435,4,0.1,4,4.5,,
Kentavious Caldwell-Pope,DEN,23630,ast,10.5,-115,-115,dk,,G,3,,,,closed,,,156,,2802,10.5,-115,-117,9.5,-125,10,2023-10-20 04:12:02,0,0,86,86,2,3,35,50,8,5,10.4,0.54102006898221,0.011472302879783902,3,-0.1,22,116.8,,
Drew Eubanks,PHO,23631,ast,5.5,-105,-120,dk,,C,15,,,,closed,,,156,,3600,5.5,-105,-120,5.5,108,10,2023-10-24 20:11:34,0,0,129,129,2,2,19,26,2,4,5.6,0.53717791142824,0.04877592231227812,3,0.1,19,115.2,,
D'Angelo Russell,LAL,23630,pra,2.5,-105,-120,dk,,G,1,,,,closed,,,157,,3013,2.5,-105,-120,2.5,106,10,2023-10-20 04:12:06,0,0,19,19,4,1,44,28,8,6,2.6,0.54381311588333,0.06173036910554908,3,0.1,8,42.4,,
Devin Booker,PHO,23631,pra,4.5,-150,115,dk,,G,1,,,,closed,,,157,,3024,4.5,-145,110,4.5,102,10,2023-10-20 06:11:38,0,0,22,22,1,4,29,41,2,5,4.4,0.55118380854432,0.18504518837028805,4,-0.1,13,43.0,,
Taurean Prince,LAL,23630,stl,0.5,105,-130,dk,,F,12,,,,closed,,,160,,3224,0.5,108,-140,0.5,100,12,2023-10-21 20:12:23,0,0,13,13,1,4,27,31,3,8,0.6,0.54881163609403,0.12506385399276165,4,0.1,10,7.0,,
Rui Hachimura,LAL,23630,stl,0.5,115,-145,dk,,F,28,,,,closed,,,160,,4491,0.5,115,-145,0.5,115,12,2023-10-21 20:12:24,0,0,13,13,0,5,16,36,1,10,0.4,0.67032004603564,0.13260973295677103,4,-0.1,10,7.0,,
Klay Thompson,GSW,23631,stl,0.5,-140,110,dk,,G,31,,,,closed,,,160,,2142,0.5,-145,112,0.5,-145,12,2023-10-20 23:12:03,0,0,14,14,3,2,36,40,2,5,0.6,0.54881163609403,-0.05918005241023416,2,0.1,26,8.3,,
